Variable,variance,mean
pelvis XPOS,0.003154,0.090646
pelvis YPOS,0.002269,0.068944
pelvis ZPOS,0.000041,0.893591
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,2473.746338,-39.414967
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,4.931173,-8.391372
spine YROT,5.477653,0.562326
spine ZROT,0.092232,0.077302
spine.001 XROT,0.002745,9.934299
spine.001 YROT,0.916700,-0.009050
spine.001 ZROT,61.448746,-0.073181
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.034491
neck ZPOS,0.000000,0.280904
neck XROT,12.045923,16.452763
neck YROT,74.129822,-0.953247
neck ZROT,1833.915771,-6.494290
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003858
face ZPOS,0.000000,0.221019
face XROT,33.142330,-7.368916
face YROT,0.000000,0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.034491
shoulder.L ZPOS,0.000000,0.280904
shoulder.L XROT,3.052963,-0.435613
shoulder.L YROT,0.000022,0.003474
shoulder.L ZROT,0.045987,0.053423
upper_arm.L XPOS,0.000000,0.184409
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,-0.000000
upper_arm.L XROT,292.208313,0.577032
upper_arm.L YROT,16.911089,77.633461
upper_arm.L ZROT,439.019470,0.044386
forearm.L XPOS,0.000000,0.319597
forearm.L YPOS,0.000000,0.000133
forearm.L ZPOS,0.000000,0.001102
forearm.L XROT,30.009987,5.990458
forearm.L YROT,125.100288,16.563309
forearm.L ZROT,96.392342,-32.542614
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.034491
shoulder.R ZPOS,0.000000,0.280904
shoulder.R XROT,3.052961,-0.382352
shoulder.R YROT,0.000021,0.003428
shoulder.R ZROT,0.045988,0.046890
upper_arm.R XPOS,0.000000,-0.184408
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,201.774094,-2.918996
upper_arm.R YROT,10.150172,-76.587921
upper_arm.R ZROT,310.763641,-4.077033
forearm.R XPOS,0.000000,-0.316425
forearm.R YPOS,0.000000,0.000133
forearm.R ZPOS,0.000000,0.001102
forearm.R XROT,8.701161,4.040821
forearm.R YROT,52.631413,-13.863922
forearm.R ZROT,53.335949,28.390520
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,23.599899,-0.213821
pelvis.L YROT,0.000000,0.000000
pelvis.L ZROT,0.000000,0.000006
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,23.599926,-0.213823
pelvis.R YROT,0.000000,-0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.105314
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000080,0.000398
thigh.L XROT,29.315910,-5.484342
thigh.L YROT,26.865139,3.997204
thigh.L ZROT,0.152427,0.023564
shin.L XPOS,0.000000,0.021460
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.409486
shin.L XROT,24.288185,8.690108
shin.L YROT,11.794751,-1.133090
shin.L ZROT,0.181038,0.524093
foot.L XROT,33.713669,-4.143735
foot.L YROT,71.072845,-8.062607
foot.L ZROT,367.440491,16.222113
heel.02.L XROT,147.006836,-16.351233
heel.02.L YROT,53.615574,49.968449
heel.02.L ZROT,40.442429,36.222240
thigh.R XPOS,0.000000,-0.105314
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000080,-0.000398
thigh.R XROT,14.689079,-6.382793
thigh.R YROT,14.749105,-6.037727
thigh.R ZROT,0.063486,-0.039888
shin.R XPOS,0.000000,-0.021718
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.414405
shin.R XROT,18.184319,11.037541
shin.R YROT,5.727199,2.581522
shin.R ZROT,0.113603,-0.798281
foot.R XROT,46.170696,-5.875456
foot.R YROT,74.397926,4.173990
foot.R ZROT,393.838165,-7.018431
heel.02.R XROT,123.155968,-21.438681
heel.02.R YROT,45.429554,-48.596355
heel.02.R ZROT,62.175026,-40.518028
