Variable,variance,mean
pelvis XPOS,0.000071,0.009879
pelvis YPOS,0.000085,-0.009524
pelvis ZPOS,0.000006,0.859150
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,2.951864,-1.740239
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,0.322160,-8.500510
spine YROT,0.106498,0.286940
spine ZROT,0.001637,0.036860
spine.001 XROT,0.000177,9.979876
spine.001 YROT,0.031443,0.501322
spine.001 ZROT,2.098529,4.087861
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.037069
neck ZPOS,0.000000,0.301906
neck XROT,28.429594,32.689457
neck YROT,3.628303,-4.865600
neck ZROT,7.320902,-2.954759
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003415
face ZPOS,0.000000,0.195618
face XROT,1.850372,8.646304
face YROT,0.000000,-0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.037069
shoulder.L ZPOS,0.000000,0.301906
shoulder.L XROT,0.774595,0.480037
shoulder.L YROT,0.000010,0.001077
shoulder.L ZROT,0.011665,-0.058944
upper_arm.L XPOS,0.000000,0.173710
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,46.704269,6.961413
upper_arm.L YROT,18.848461,73.616051
upper_arm.L ZROT,109.413193,-9.652905
forearm.L XPOS,0.000000,0.287853
forearm.L YPOS,0.000000,0.000131
forearm.L ZPOS,0.000000,0.001086
forearm.L XROT,131.464188,41.846924
forearm.L YROT,43.528423,31.056004
forearm.L ZROT,311.454041,-104.955498
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.037069
shoulder.R ZPOS,0.000000,0.301906
shoulder.R XROT,0.774596,0.535792
shoulder.R YROT,0.000010,0.001137
shoulder.R ZROT,0.011665,-0.065786
upper_arm.R XPOS,0.000000,-0.173711
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,36.004452,-5.851012
upper_arm.R YROT,3.115361,-71.478897
upper_arm.R ZROT,71.827141,-8.020904
forearm.R XPOS,0.000000,-0.272536
forearm.R YPOS,0.000000,0.000131
forearm.R ZPOS,0.000000,0.001086
forearm.R XROT,54.389889,39.788437
forearm.R YROT,8.080890,-28.883520
forearm.R ZROT,260.529510,106.629303
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,0.139117,-0.680996
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,-0.000001
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,0.139118,-0.680995
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.121406
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000001,0.001443
thigh.L XROT,0.990330,5.954466
thigh.L YROT,0.418151,0.627388
thigh.L ZROT,0.002375,0.277700
shin.L XPOS,0.000000,0.022107
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.421826
shin.L XROT,0.927175,-0.529159
shin.L YROT,0.126522,1.055185
shin.L ZROT,0.001795,-0.023411
foot.L XROT,1.211969,-6.914177
foot.L YROT,0.394114,-3.835608
foot.L ZROT,1.516482,6.321463
heel.02.L XROT,0.311399,3.022344
heel.02.L YROT,0.700330,-28.353916
heel.02.L ZROT,0.456446,-18.680834
thigh.R XPOS,0.000000,-0.121406
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000001,-0.001443
thigh.R XROT,0.695434,5.178241
thigh.R YROT,0.307324,-0.915932
thigh.R ZROT,0.002130,-0.230090
shin.R XPOS,0.000000,-0.022186
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.423326
shin.R XROT,0.805779,1.694494
shin.R YROT,0.422263,2.256709
shin.R ZROT,0.004727,-0.123506
foot.R XROT,1.037785,-11.331483
foot.R YROT,0.541330,3.899027
foot.R ZROT,2.083148,-5.027542
heel.02.R XROT,0.875285,0.139719
heel.02.R YROT,2.014416,24.658840
heel.02.R ZROT,0.499349,14.936551
