Variable,variance,mean
pelvis XPOS,0.002814,0.020656
pelvis YPOS,0.000298,-0.035911
pelvis ZPOS,0.000023,0.802302
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,17.059271,3.490840
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,1.366921,-7.241844
spine YROT,1.190281,3.124209
spine ZROT,0.011984,0.357088
spine.001 XROT,0.000707,9.971310
spine.001 YROT,0.131802,0.519355
spine.001 ZROT,8.805949,4.238675
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.034049
neck ZPOS,0.000000,0.277304
neck XROT,29.974167,30.883324
neck YROT,9.658106,-0.522436
neck ZROT,19.234837,1.724825
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003573
face ZPOS,0.000000,0.204687
face XROT,6.643523,2.930509
face YROT,0.000000,-0.000000
face ZROT,0.000000,0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.034049
shoulder.L ZPOS,0.000000,0.277304
shoulder.L XROT,1.186671,-0.927066
shoulder.L YROT,0.000008,0.002192
shoulder.L ZROT,0.017879,0.113778
upper_arm.L XPOS,0.000000,0.167774
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,85.807266,-14.972243
upper_arm.L YROT,12.023733,70.924843
upper_arm.L ZROT,168.153275,20.963409
forearm.L XPOS,0.000000,0.280428
forearm.L YPOS,0.000000,0.000124
forearm.L ZPOS,0.000000,0.001028
forearm.L XROT,61.874798,51.916496
forearm.L YROT,25.703794,35.329185
forearm.L ZROT,163.940002,-111.532127
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.034049
shoulder.R ZPOS,0.000000,0.277304
shoulder.R XROT,1.186670,-0.872514
shoulder.R YROT,0.000008,0.002087
shoulder.R ZROT,0.017879,0.107082
upper_arm.R XPOS,0.000000,-0.167773
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,595.534546,-5.545541
upper_arm.R YROT,28.120207,-76.640236
upper_arm.R ZROT,1086.449585,-5.586204
forearm.R XPOS,0.000000,-0.265675
forearm.R YPOS,0.000000,0.000124
forearm.R ZPOS,0.000000,0.001028
forearm.R XROT,104.234634,36.280621
forearm.R YROT,56.286236,-28.237846
forearm.R ZROT,245.952286,103.202911
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,0.692415,2.104211
pelvis.L YROT,0.000000,0.000000
pelvis.L ZROT,0.000000,0.000000
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,0.692416,2.104212
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.111813
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000003,-0.004108
thigh.L XROT,3.894730,8.401738
thigh.L YROT,12.090255,2.718908
thigh.L ZROT,0.031913,0.200123
shin.L XPOS,0.000000,0.020913
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.399043
shin.L XROT,12.564249,-1.093786
shin.L YROT,1.405046,-3.511387
shin.L ZROT,0.064116,-0.103291
foot.L XROT,2.955991,-8.524874
foot.L YROT,2.444607,-2.616010
foot.L ZROT,8.574047,3.390195
heel.02.L XROT,8.263456,-9.522981
heel.02.L YROT,4.730532,47.545933
heel.02.L ZROT,4.935431,31.828644
thigh.R XPOS,0.000000,-0.111813
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000003,0.004108
thigh.R XROT,2.805346,10.894188
thigh.R YROT,10.607031,-0.981594
thigh.R ZROT,0.090159,-0.493140
shin.R XPOS,0.000000,-0.021127
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.403129
shin.R XROT,4.681670,-4.893978
shin.R YROT,2.848372,2.845988
shin.R ZROT,0.029345,0.391670
foot.R XROT,4.195906,-9.081305
foot.R YROT,3.137120,4.181177
foot.R ZROT,12.355751,-6.279670
heel.02.R XROT,13.341036,-14.804526
heel.02.R YROT,8.603270,-47.805305
heel.02.R ZROT,17.576180,-39.762604
