Variable,variance,mean
pelvis XPOS,0.000168,0.019715
pelvis YPOS,0.000068,-0.014394
pelvis ZPOS,0.000007,0.866722
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,1.305430,2.012579
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,0.964141,-8.094068
spine YROT,0.403889,0.314065
spine ZROT,0.004493,0.037872
spine.001 XROT,0.000332,9.983150
spine.001 YROT,0.036283,0.446828
spine.001 ZROT,2.431560,3.643385
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.037109
neck ZPOS,0.000000,0.302226
neck XROT,20.200399,21.840525
neck YROT,8.355181,-0.749599
neck ZROT,39.766964,-1.998140
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003868
face ZPOS,0.000000,0.221613
face XROT,3.112982,-0.940926
face YROT,0.000000,-0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.037109
shoulder.L ZPOS,0.000000,0.302226
shoulder.L XROT,0.539039,1.003461
shoulder.L YROT,0.000002,0.001656
shoulder.L ZROT,0.008123,-0.123221
upper_arm.L XPOS,0.000000,0.184976
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,-0.000000
upper_arm.L XROT,203.699997,-35.962612
upper_arm.L YROT,15.073734,70.910545
upper_arm.L ZROT,396.902405,48.061604
forearm.L XPOS,0.000000,0.307264
forearm.L YPOS,0.000000,0.000134
forearm.L ZPOS,0.000000,0.001110
forearm.L XROT,48.138172,16.752443
forearm.L YROT,81.481201,45.334099
forearm.L ZROT,80.188484,-36.405193
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.037109
shoulder.R ZPOS,0.000000,0.302226
shoulder.R XROT,0.539038,1.057002
shoulder.R YROT,0.000002,0.001775
shoulder.R ZROT,0.008123,-0.129789
upper_arm.R XPOS,0.000000,-0.184976
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,285.428528,-49.572971
upper_arm.R YROT,96.554024,-69.866638
upper_arm.R ZROT,745.643982,-63.448006
forearm.R XPOS,0.000000,-0.290422
forearm.R YPOS,0.000000,0.000134
forearm.R ZPOS,0.000000,0.001110
forearm.R XROT,228.991196,9.025995
forearm.R YROT,162.860413,-31.738914
forearm.R ZROT,262.319946,35.814430
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,0.161768,0.588649
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,0.000000
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,0.161768,0.588649
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,-0.000000
thigh.L XPOS,0.000000,0.119972
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000001,-0.001233
thigh.L XROT,1.115847,6.865831
thigh.L YROT,0.750244,2.314502
thigh.L ZROT,0.002901,0.220435
shin.L XPOS,0.000000,0.022082
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.421343
shin.L XROT,3.067281,-2.298255
shin.L YROT,0.236732,-1.345663
shin.L ZROT,0.011512,-0.147806
foot.L XROT,1.433138,-4.883184
foot.L YROT,0.434679,-3.176828
foot.L ZROT,1.916881,5.675385
heel.02.L XROT,1.598566,-11.830334
heel.02.L YROT,0.679891,48.760864
heel.02.L ZROT,1.281731,36.692738
thigh.R XPOS,0.000000,-0.119972
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000001,0.001233
thigh.R XROT,0.774493,5.416803
thigh.R YROT,0.751715,0.676948
thigh.R ZROT,0.002865,-0.312509
shin.R XPOS,0.000000,-0.022108
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.421838
shin.R XROT,1.235364,2.592940
shin.R YROT,0.424933,0.424560
shin.R ZROT,0.003275,-0.143354
foot.R XROT,1.295706,-11.345740
foot.R YROT,0.446378,4.992204
foot.R ZROT,1.571901,-7.007207
heel.02.R XROT,1.894818,-22.324881
heel.02.R YROT,0.563706,-51.457912
heel.02.R ZROT,2.515448,-43.162823
