Variable,variance,mean
pelvis XPOS,0.007930,0.013517
pelvis YPOS,0.009225,0.003032
pelvis ZPOS,0.000053,0.668621
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,591.429993,-4.725688
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,8.696567,-6.244333
spine YROT,12.775710,-0.540846
spine ZROT,0.139963,-0.059718
spine.001 XROT,0.002995,9.955025
spine.001 YROT,0.627180,0.023244
spine.001 ZROT,42.060173,0.184178
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.029301
neck ZPOS,0.000000,0.238635
neck XROT,37.683487,18.743401
neck YROT,24.661005,-2.105671
neck ZROT,200.451309,-5.039180
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003110
face ZPOS,0.000000,0.178174
face XROT,8.020556,1.626013
face YROT,0.000000,-0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.029301
shoulder.L ZPOS,0.000000,0.238636
shoulder.L XROT,3.792708,-1.641920
shoulder.L YROT,0.000054,0.006950
shoulder.L ZROT,0.057099,0.201445
upper_arm.L XPOS,0.000000,0.144247
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,594.679016,13.361130
upper_arm.L YROT,38.484921,76.944641
upper_arm.L ZROT,1034.576294,-15.056231
forearm.L XPOS,0.000000,0.241736
forearm.L YPOS,0.000000,0.000104
forearm.L ZPOS,0.000000,0.000864
forearm.L XROT,86.020004,5.591895
forearm.L YROT,196.605042,17.634193
forearm.L ZROT,142.136780,-24.641329
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.029301
shoulder.R ZPOS,0.000000,0.238636
shoulder.R XROT,3.792711,-1.588509
shoulder.R YROT,0.000051,0.006765
shoulder.R ZROT,0.057102,0.194898
upper_arm.R XPOS,0.000000,-0.144246
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,379.998779,17.248852
upper_arm.R YROT,242.717041,-69.984932
upper_arm.R ZROT,958.928345,26.543905
forearm.R XPOS,0.000000,-0.240681
forearm.R YPOS,0.000000,0.000104
forearm.R ZPOS,0.000000,0.000864
forearm.R XROT,798.537476,6.960112
forearm.R YROT,256.157074,-17.968914
forearm.R ZROT,1715.654541,43.881073
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,8.481107,-0.904612
pelvis.L YROT,0.000000,0.000000
pelvis.L ZROT,0.000000,-0.000000
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,8.481104,-0.904612
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.090562
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000021,0.001430
thigh.L XROT,42.819599,-1.689442
thigh.L YROT,38.752365,0.428969
thigh.L ZROT,0.217285,-0.335169
shin.L XPOS,0.000000,0.016922
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.322884
shin.L XROT,136.626114,10.076135
shin.L YROT,16.216324,4.221791
shin.L ZROT,1.977998,-0.177989
foot.L XROT,36.456745,-5.174279
foot.L YROT,15.098209,-6.521658
foot.L ZROT,75.387627,12.722980
heel.02.L XROT,46.932022,-23.815250
heel.02.L YROT,13.538787,51.059788
heel.02.L ZROT,40.565063,41.709694
thigh.R XPOS,0.000000,-0.090562
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000021,-0.001430
thigh.R XROT,47.511757,2.210241
thigh.R YROT,30.399027,-4.321882
thigh.R ZROT,0.116957,0.170205
shin.R XPOS,0.000000,-0.017084
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.325982
shin.R XROT,87.304092,1.634774
shin.R YROT,5.879529,-2.492678
shin.R ZROT,0.099201,0.022749
foot.R XROT,25.733551,-4.704338
foot.R YROT,13.424193,5.763810
foot.R ZROT,66.762718,-11.387389
heel.02.R XROT,57.739304,-21.609737
heel.02.R YROT,15.673768,-49.541107
heel.02.R ZROT,39.060635,-38.593948
