Variable,variance,mean
pelvis XPOS,0.000337,0.061490
pelvis YPOS,0.000230,-0.031086
pelvis ZPOS,0.000059,0.931994
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,38.777519,-11.474895
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,2.388921,-7.397367
spine YROT,1.703033,5.253389
spine ZROT,0.021527,0.613745
spine.001 XROT,0.002182,9.972519
spine.001 YROT,0.345129,0.196013
spine.001 ZROT,23.180426,1.590143
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.034519
neck ZPOS,0.000000,0.281131
neck XROT,22.328398,12.057590
neck YROT,29.689070,0.097494
neck ZROT,474.384003,-3.018703
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003779
face ZPOS,0.000000,0.216495
face XROT,17.174276,4.054704
face YROT,0.000000,0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.034518
shoulder.L ZPOS,0.000000,0.281131
shoulder.L XROT,0.831551,-0.177301
shoulder.L YROT,0.000002,0.000925
shoulder.L ZROT,0.012533,0.021738
upper_arm.L XPOS,0.000000,0.181840
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,295.623077,-9.696367
upper_arm.L YROT,71.745232,74.556282
upper_arm.L ZROT,535.465210,13.782415
forearm.L XPOS,0.000000,0.301621
forearm.L YPOS,0.000000,0.000135
forearm.L ZPOS,0.000000,0.001119
forearm.L XROT,177.932144,19.520195
forearm.L YROT,50.567989,37.336735
forearm.L ZROT,192.338120,-49.323475
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.034518
shoulder.R ZPOS,0.000000,0.281131
shoulder.R XROT,0.831550,-0.122386
shoulder.R YROT,0.000002,0.000907
shoulder.R ZROT,0.012533,0.015001
upper_arm.R XPOS,0.000000,-0.181839
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,-0.000000
upper_arm.R XROT,430.453949,13.858605
upper_arm.R YROT,49.424595,-71.794594
upper_arm.R ZROT,859.727844,18.030466
forearm.R XPOS,0.000000,-0.299418
forearm.R YPOS,0.000000,0.000135
forearm.R ZPOS,0.000000,0.001119
forearm.R XROT,63.379097,13.378171
forearm.R YROT,57.446533,-30.510876
forearm.R ZROT,257.566895,43.704613
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,0.893181,5.479637
pelvis.L YROT,0.000000,0.000001
pelvis.L ZROT,0.000000,0.000000
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,0.893183,5.479637
pelvis.R YROT,0.000000,-0.000001
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.101168
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000003,-0.009705
thigh.L XROT,3.770635,5.578184
thigh.L YROT,2.526173,6.350812
thigh.L ZROT,0.004975,-0.032371
shin.L XPOS,0.000000,0.022393
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.427281
shin.L XROT,7.512430,4.470272
shin.L YROT,0.408737,-1.617436
shin.L ZROT,0.032572,0.298019
foot.L XROT,2.193178,-11.017389
foot.L YROT,7.566918,-5.184432
foot.L ZROT,23.678764,7.421879
heel.02.L XROT,6.849654,-16.551733
heel.02.L YROT,2.940284,49.539268
heel.02.L ZROT,3.819838,33.379204
thigh.R XPOS,0.000000,-0.101168
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000003,0.009705
thigh.R XROT,5.071785,-0.454672
thigh.R YROT,1.572314,0.919032
thigh.R ZROT,0.021503,0.031358
shin.R XPOS,0.000000,-0.021811
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.416178
shin.R XROT,12.528952,7.502066
shin.R YROT,0.929181,3.775025
shin.R ZROT,0.069240,-0.628383
foot.R XROT,5.824401,-7.978975
foot.R YROT,6.492809,2.791360
foot.R ZROT,23.515482,-3.677990
heel.02.R XROT,12.842164,-16.375389
heel.02.R YROT,7.793377,-48.192371
heel.02.R ZROT,5.496187,-43.246735
