Variable,variance,mean
pelvis XPOS,0.000015,0.038112
pelvis YPOS,0.000042,0.036097
pelvis ZPOS,0.000021,0.697501
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,14.661325,4.232463
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,0.436929,-8.056168
spine YROT,0.263619,2.520015
spine ZROT,0.004397,0.311146
spine.001 XROT,0.000649,9.985195
spine.001 YROT,0.094528,0.335990
spine.001 ZROT,6.322926,2.741282
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.031050
neck ZPOS,0.000000,0.252880
neck XROT,34.409203,15.664812
neck YROT,24.784037,-2.516830
neck ZROT,277.233795,-1.088328
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003283
face ZPOS,0.000000,0.188111
face XROT,9.898900,3.878078
face YROT,0.000000,-0.000000
face ZROT,0.000000,0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.031050
shoulder.L ZPOS,0.000000,0.252880
shoulder.L XROT,1.269585,-0.660364
shoulder.L YROT,0.000002,0.001827
shoulder.L ZROT,0.019135,0.081042
upper_arm.L XPOS,0.000000,0.162704
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,290.643402,29.656628
upper_arm.L YROT,116.649422,74.879387
upper_arm.L ZROT,481.380066,-37.698887
forearm.L XPOS,0.000000,0.253279
forearm.L YPOS,0.000000,0.000110
forearm.L ZPOS,0.000000,0.000909
forearm.L XROT,564.477356,13.021205
forearm.L YROT,123.737457,14.468064
forearm.L ZROT,1896.730469,-42.320637
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.031050
shoulder.R ZPOS,0.000000,0.252880
shoulder.R XROT,1.269585,-0.610577
shoulder.R YROT,0.000002,0.001760
shoulder.R ZROT,0.019134,0.074935
upper_arm.R XPOS,0.000000,-0.162704
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,176.962723,23.711304
upper_arm.R YROT,79.333801,-71.999443
upper_arm.R ZROT,354.048035,32.195694
forearm.R XPOS,0.000000,-0.249555
forearm.R YPOS,0.000000,0.000110
forearm.R ZPOS,0.000000,0.000909
forearm.R XROT,699.553711,19.760794
forearm.R YROT,203.803604,-21.224417
forearm.R ZROT,1889.118408,49.053310
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,0.397593,1.852743
pelvis.L YROT,0.000000,0.000000
pelvis.L ZROT,0.000000,-0.000001
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,0.397593,1.852744
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,-0.000000
thigh.L XPOS,0.000000,0.103743
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000001,-0.003356
thigh.L XROT,1.470362,-0.638877
thigh.L YROT,0.599136,7.185998
thigh.L ZROT,0.000275,0.001523
shin.L XPOS,0.000000,0.017434
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.332663
shin.L XROT,3.009612,3.815720
shin.L YROT,0.803097,2.032619
shin.L ZROT,0.003214,0.124441
foot.L XROT,1.491430,-3.575042
foot.L YROT,1.849955,-5.584553
foot.L ZROT,8.971468,11.282770
heel.02.L XROT,0.507612,-0.402277
heel.02.L YROT,2.066693,-24.925135
heel.02.L ZROT,1.407568,-13.496447
thigh.R XPOS,0.000000,-0.103743
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000001,0.003356
thigh.R XROT,1.614725,-0.560414
thigh.R YROT,0.385619,-0.093863
thigh.R ZROT,0.004192,0.030493
shin.R XPOS,0.000000,-0.017652
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.336816
shin.R XROT,1.066481,7.994653
shin.R YROT,0.736349,-2.129845
shin.R ZROT,0.002858,-0.267145
foot.R XROT,2.665884,-10.563152
foot.R YROT,1.365616,4.511453
foot.R ZROT,6.280240,-6.410836
heel.02.R XROT,0.954140,-5.283319
heel.02.R YROT,1.340620,26.508635
heel.02.R ZROT,1.556046,13.288124
