Variable,variance,mean
pelvis XPOS,0.001048,0.024061
pelvis YPOS,0.000743,-0.053118
pelvis ZPOS,0.000014,0.885402
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,18.819302,-0.492904
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,3.631895,-7.203550
spine YROT,1.083615,2.480731
spine ZROT,0.015487,0.286697
spine.001 XROT,0.000360,9.992321
spine.001 YROT,0.097716,0.099150
spine.001 ZROT,6.516757,0.809410
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.034905
neck ZPOS,0.000000,0.284278
neck XROT,40.026478,12.398736
neck YROT,14.922536,0.132670
neck ZROT,238.164383,5.329228
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003661
face ZPOS,0.000000,0.209740
face XROT,10.328713,6.824577
face YROT,0.000000,0.000000
face ZROT,0.000000,0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.034905
shoulder.L ZPOS,0.000000,0.284278
shoulder.L XROT,1.554908,-2.229429
shoulder.L YROT,0.000052,0.006989
shoulder.L ZROT,0.023385,0.273574
upper_arm.L XPOS,0.000000,0.176212
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,-0.000000
upper_arm.L XROT,24.757118,53.232769
upper_arm.L YROT,11.119789,55.396435
upper_arm.L ZROT,51.771061,-87.070930
forearm.L XPOS,0.000000,0.321055
forearm.L YPOS,0.000000,0.000132
forearm.L ZPOS,0.000000,0.001092
forearm.L XROT,287.760773,62.210079
forearm.L YROT,225.725357,47.565193
forearm.L ZROT,118.494637,-108.486496
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.034905
shoulder.R ZPOS,0.000000,0.284278
shoulder.R XROT,1.554911,-2.174156
shoulder.R YROT,0.000050,0.006728
shoulder.R ZROT,0.023387,0.266797
upper_arm.R XPOS,0.000000,-0.176212
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,24.214041,50.062054
upper_arm.R YROT,5.802021,-58.213505
upper_arm.R ZROT,44.249592,79.731979
forearm.R XPOS,0.000000,-0.306861
forearm.R YPOS,0.000000,0.000132
forearm.R ZPOS,0.000000,0.001092
forearm.R XROT,24.668612,53.623039
forearm.R YROT,11.650397,-54.442867
forearm.R ZROT,36.352680,87.217667
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,0.435165,2.321006
pelvis.L YROT,0.000000,0.000000
pelvis.L ZROT,0.000000,-0.000000
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,0.435165,2.321007
pelvis.R YROT,0.000000,-0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.118724
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000002,-0.004812
thigh.L XROT,3.380733,6.696834
thigh.L YROT,5.328989,4.316525
thigh.L ZROT,0.019422,0.084952
shin.L XPOS,0.000000,0.023045
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.439733
shin.L XROT,3.828365,3.649783
shin.L YROT,0.603558,-2.172073
shin.L ZROT,0.021168,0.263645
foot.L XROT,5.004600,-12.204005
foot.L YROT,3.543084,-0.266034
foot.L ZROT,12.280802,-1.834438
heel.02.L XROT,3.055664,-6.933896
heel.02.L YROT,2.767125,42.380108
heel.02.L ZROT,2.291980,30.592461
thigh.R XPOS,0.000000,-0.118724
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000002,0.004812
thigh.R XROT,4.406048,7.804022
thigh.R YROT,5.489768,-0.515726
thigh.R ZROT,0.026009,-0.361221
shin.R XPOS,0.000000,-0.023282
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.444255
shin.R XROT,8.072463,0.474464
shin.R YROT,0.605878,0.645787
shin.R ZROT,0.025226,-0.024251
foot.R XROT,4.888780,-12.857616
foot.R YROT,4.150770,0.027973
foot.R ZROT,11.872908,2.393235
heel.02.R XROT,3.563588,-10.644192
heel.02.R YROT,4.336797,-40.185341
heel.02.R ZROT,6.134431,-29.451292
