Variable,variance,mean
pelvis XPOS,0.000273,0.020052
pelvis YPOS,0.000102,0.015117
pelvis ZPOS,0.000013,0.852331
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,9.873950,-1.656638
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,2.387787,-8.029663
spine YROT,1.113567,1.623804
spine ZROT,0.012986,0.191111
spine.001 XROT,0.000118,9.988722
spine.001 YROT,0.099296,0.242514
spine.001 ZROT,6.600203,1.977250
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.031737
neck ZPOS,0.000000,0.258474
neck XROT,21.687237,8.702281
neck YROT,3.722936,-2.320909
neck ZROT,116.533302,2.111842
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003737
face ZPOS,0.000000,0.214105
face XROT,3.403248,3.624947
face YROT,0.000000,-0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.031737
shoulder.L ZPOS,0.000000,0.258475
shoulder.L XROT,0.496320,-2.886702
shoulder.L YROT,0.000025,0.009458
shoulder.L ZROT,0.007457,0.354256
upper_arm.L XPOS,0.000000,0.166496
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,35.901428,47.060707
upper_arm.L YROT,0.667273,81.765297
upper_arm.L ZROT,46.423786,-53.388393
forearm.L XPOS,0.000000,0.284837
forearm.L YPOS,0.000000,0.000124
forearm.L ZPOS,0.000000,0.001031
forearm.L XROT,0.041874,0.553048
forearm.L YROT,1.679330,5.376817
forearm.L ZROT,3.108616,-11.027306
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.031737
shoulder.R ZPOS,0.000000,0.258475
shoulder.R XROT,0.496320,-2.831486
shoulder.R YROT,0.000024,0.009119
shoulder.R ZROT,0.007458,0.347486
upper_arm.R XPOS,0.000000,-0.166496
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,17.087147,28.217161
upper_arm.R YROT,0.668716,-74.889183
upper_arm.R ZROT,26.151833,36.298611
forearm.R XPOS,0.000000,-0.289323
forearm.R YPOS,0.000000,0.000124
forearm.R ZPOS,0.000000,0.001031
forearm.R XROT,0.051238,0.768909
forearm.R YROT,1.713293,-8.004664
forearm.R ZROT,3.038013,9.677499
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,0.673200,1.094841
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,0.000000
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,0.673201,1.094842
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.104026
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000002,-0.001988
thigh.L XROT,9.228528,4.141641
thigh.L YROT,0.505924,6.090568
thigh.L ZROT,0.001739,-0.011746
shin.L XPOS,0.000000,0.020751
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.395956
shin.L XROT,52.618519,-0.585968
shin.L YROT,1.482065,-6.381532
shin.L ZROT,0.582514,-0.012929
foot.L XROT,12.540730,-4.077204
foot.L YROT,1.129267,3.486656
foot.L ZROT,5.238292,-8.629091
heel.02.L XROT,8.749546,-13.778833
heel.02.L YROT,3.435717,45.505070
heel.02.L ZROT,0.794145,32.748276
thigh.R XPOS,0.000000,-0.104026
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000002,0.001988
thigh.R XROT,28.817364,3.651037
thigh.R YROT,4.269041,-2.598482
thigh.R ZROT,0.033607,-0.043289
shin.R XPOS,0.000000,-0.021340
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.407196
shin.R XROT,113.678177,-1.513085
shin.R YROT,5.478705,3.720805
shin.R ZROT,0.656915,0.190022
foot.R XROT,24.939611,-0.806831
foot.R YROT,1.051434,-1.766968
foot.R ZROT,3.640910,4.492463
heel.02.R XROT,9.698164,-13.907183
heel.02.R YROT,3.499971,-44.782803
heel.02.R ZROT,2.929108,-35.282043
