Variable,variance,mean
pelvis XPOS,0.003934,-0.017588
pelvis YPOS,0.000482,0.026748
pelvis ZPOS,0.000055,0.665950
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,84.803391,-5.346502
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,3.454359,-9.849931
spine YROT,7.082217,-1.009638
spine ZROT,0.126367,-0.145848
spine.001 XROT,0.001911,9.958416
spine.001 YROT,0.427629,0.391915
spine.001 ZROT,28.619633,3.203904
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.029424
neck ZPOS,0.000000,0.239638
neck XROT,62.587105,16.354633
neck YROT,29.929825,-2.620999
neck ZROT,109.488525,-4.379384
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003085
face ZPOS,0.000000,0.176711
face XROT,9.931383,3.444896
face YROT,0.000000,0.000000
face ZROT,0.000000,0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.029424
shoulder.L ZPOS,0.000000,0.239639
shoulder.L XROT,2.283391,-3.021464
shoulder.L YROT,0.000077,0.012223
shoulder.L ZROT,0.034336,0.370683
upper_arm.L XPOS,0.000000,0.143944
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,623.847412,23.810307
upper_arm.L YROT,67.519012,76.711281
upper_arm.L ZROT,1182.697510,-30.647200
forearm.L XPOS,0.000000,0.243864
forearm.L YPOS,0.000000,0.000104
forearm.L ZPOS,0.000000,0.000866
forearm.L XROT,243.080765,10.475004
forearm.L YROT,150.253723,18.405008
forearm.L ZROT,1382.886841,-40.570644
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.029424
shoulder.R ZPOS,0.000000,0.239639
shoulder.R XROT,2.283392,-2.967752
shoulder.R YROT,0.000074,0.011879
shoulder.R ZROT,0.034339,0.364102
upper_arm.R XPOS,0.000000,-0.143944
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,446.683411,21.035166
upper_arm.R YROT,187.232498,-69.173485
upper_arm.R ZROT,1020.251038,31.713894
forearm.R XPOS,0.000000,-0.241177
forearm.R YPOS,0.000000,0.000104
forearm.R ZPOS,0.000000,0.000866
forearm.R XROT,511.193237,5.570210
forearm.R YROT,139.638123,-14.921300
forearm.R ZROT,2308.086670,47.122990
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,4.503419,-1.437237
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,-0.000001
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,4.503418,-1.437238
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.092117
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000012,0.002311
thigh.L XROT,28.000065,-0.852259
thigh.L YROT,25.549093,0.622598
thigh.L ZROT,0.158113,-0.223753
shin.L XPOS,0.000000,0.017161
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.327450
shin.L XROT,93.644348,6.756518
shin.L YROT,7.762859,2.533926
shin.L ZROT,0.081237,0.030367
foot.L XROT,17.279011,-6.393039
foot.L YROT,10.280457,-6.710006
foot.L ZROT,44.377663,12.316060
heel.02.L XROT,27.123457,-25.728865
heel.02.L YROT,5.752048,52.616253
heel.02.L ZROT,19.090248,43.490425
thigh.R XPOS,0.000000,-0.092117
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000012,-0.002311
thigh.R XROT,19.175043,0.780732
thigh.R YROT,30.482023,-4.714180
thigh.R ZROT,0.061829,0.154248
shin.R XPOS,0.000000,-0.017088
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.326062
shin.R XROT,54.900097,3.991033
shin.R YROT,4.687150,-1.282730
shin.R ZROT,0.084929,-0.087587
foot.R XROT,12.377487,-8.130862
foot.R YROT,9.074286,6.557662
foot.R ZROT,40.688644,-11.300616
heel.02.R XROT,23.860399,-24.151245
heel.02.R YROT,5.879279,-51.370636
heel.02.R ZROT,13.901950,-39.794071
