Variable,variance,mean
pelvis XPOS,0.000149,0.011897
pelvis YPOS,0.000057,-0.000456
pelvis ZPOS,0.000019,0.867912
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,4.153353,-1.169884
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,0.509673,-9.462449
spine YROT,0.502901,0.248658
spine ZROT,0.007904,0.034244
spine.001 XROT,0.000087,9.986159
spine.001 YROT,0.023996,0.413095
spine.001 ZROT,1.598008,3.367224
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.036490
neck ZPOS,0.000000,0.297185
neck XROT,6.457173,10.810363
neck YROT,6.523153,-0.352392
neck ZROT,132.000275,-3.596897
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003809
face ZPOS,0.000000,0.218242
face XROT,3.541649,6.362157
face YROT,0.000000,0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.036490
shoulder.L ZPOS,0.000000,0.297185
shoulder.L XROT,0.638472,0.467948
shoulder.L YROT,0.000001,0.000919
shoulder.L ZROT,0.009623,-0.057468
upper_arm.L XPOS,0.000000,0.178344
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,309.622864,58.232304
upper_arm.L YROT,3.228894,71.427475
upper_arm.L ZROT,506.942932,-74.770035
forearm.L XPOS,0.000000,0.290673
forearm.L YPOS,0.000000,0.000133
forearm.L ZPOS,0.000000,0.001103
forearm.L XROT,5.351818,10.914800
forearm.L YROT,22.758823,29.919861
forearm.L ZROT,113.201027,-38.163212
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.036490
shoulder.R ZPOS,0.000000,0.297185
shoulder.R XROT,0.638473,0.523097
shoulder.R YROT,0.000002,0.000977
shoulder.R ZROT,0.009623,-0.064235
upper_arm.R XPOS,0.000000,-0.178343
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,346.185181,63.097076
upper_arm.R YROT,3.400073,-70.637123
upper_arm.R ZROT,564.475037,81.076485
forearm.R XPOS,0.000000,-0.293452
forearm.R YPOS,0.000000,0.000133
forearm.R ZPOS,0.000000,0.001103
forearm.R XROT,16.203972,5.915035
forearm.R YROT,7.097844,-20.628628
forearm.R ZROT,95.000671,29.054447
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,0.437108,0.926423
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,0.000000
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,0.437108,0.926423
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.117757
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000002,-0.001904
thigh.L XROT,1.214900,6.542152
thigh.L YROT,0.732685,0.789423
thigh.L ZROT,0.003430,0.294260
shin.L XPOS,0.000000,0.022562
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.430500
shin.L XROT,5.095454,-4.143265
shin.L YROT,0.322144,0.384001
shin.L ZROT,0.012444,-0.201777
foot.L XROT,3.461193,-1.493883
foot.L YROT,0.576168,-3.984941
foot.L ZROT,2.105474,8.719486
heel.02.L XROT,2.507100,-10.667808
heel.02.L YROT,1.168064,49.815674
heel.02.L ZROT,1.680233,38.311329
thigh.R XPOS,0.000000,-0.117757
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000002,0.001904
thigh.R XROT,0.853139,4.173926
thigh.R YROT,0.762289,0.388734
thigh.R ZROT,0.003029,-0.230526
shin.R XPOS,0.000000,-0.022299
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.425483
shin.R XROT,1.651215,3.087708
shin.R YROT,0.489419,-0.082964
shin.R ZROT,0.003477,-0.157949
foot.R XROT,0.833325,-12.430505
foot.R YROT,0.933811,5.035759
foot.R ZROT,3.303421,-6.725331
heel.02.R XROT,2.949583,-21.503864
heel.02.R YROT,0.927754,-50.237812
heel.02.R ZROT,2.007474,-39.798824
