Variable,variance,mean
pelvis XPOS,0.000098,0.038100
pelvis YPOS,0.000193,-0.062396
pelvis ZPOS,0.000007,0.916278
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,1.693515,-0.341224
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,0.831030,-10.019050
spine YROT,0.185588,0.531594
spine ZROT,0.003515,0.073316
spine.001 XROT,0.000074,9.986836
spine.001 YROT,0.022823,0.402714
spine.001 ZROT,1.519338,3.282444
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.037378
neck ZPOS,0.000000,0.304419
neck XROT,9.632309,20.076313
neck YROT,15.563043,3.008187
neck ZROT,142.752197,4.441216
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.004179
face ZPOS,0.000000,0.239431
face XROT,1.520028,4.199355
face YROT,0.000000,-0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.037378
shoulder.L ZPOS,0.000000,0.304419
shoulder.L XROT,0.224431,1.214389
shoulder.L YROT,0.000002,0.001821
shoulder.L ZROT,0.003382,-0.149110
upper_arm.L XPOS,0.000000,0.191014
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,61.799698,16.016172
upper_arm.L YROT,2.064595,79.157471
upper_arm.L ZROT,99.122246,-19.319929
forearm.L XPOS,0.000000,0.324055
forearm.L YPOS,0.000000,0.000140
forearm.L ZPOS,0.000000,0.001157
forearm.L XROT,8.658459,2.938013
forearm.L YROT,3.596704,15.919161
forearm.L ZROT,263.322357,-18.796635
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.037378
shoulder.R ZPOS,0.000000,0.304419
shoulder.R XROT,0.224430,1.268383
shoulder.R YROT,0.000002,0.001965
shoulder.R ZROT,0.003382,-0.155741
upper_arm.R XPOS,0.000000,-0.191014
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,29.540758,17.029835
upper_arm.R YROT,0.636216,-81.903572
upper_arm.R ZROT,38.810875,19.603760
forearm.R XPOS,0.000000,-0.317080
forearm.R YPOS,0.000000,0.000140
forearm.R ZPOS,0.000000,0.001157
forearm.R XROT,0.054739,1.443248
forearm.R YROT,1.127731,-10.792632
forearm.R ZROT,2.242525,14.029555
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,0.088077,0.603265
pelvis.L YROT,0.000000,0.000000
pelvis.L ZROT,0.000000,-0.000000
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,0.088077,0.603265
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.115926
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000000,-0.001221
thigh.L XROT,0.704767,8.362719
thigh.L YROT,0.531954,4.524604
thigh.L ZROT,0.002571,0.106956
shin.L XPOS,0.000000,0.022477
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.428883
shin.L XROT,1.005496,1.155448
shin.L YROT,0.354995,-4.439477
shin.L ZROT,0.008042,0.104210
foot.L XROT,2.506194,-9.814505
foot.L YROT,0.546242,-3.233872
foot.L ZROT,1.631234,4.223277
heel.02.L XROT,1.892254,-18.710238
heel.02.L YROT,0.447207,49.556583
heel.02.L ZROT,0.960463,37.466454
thigh.R XPOS,0.000000,-0.115926
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000000,0.001221
thigh.R XROT,0.382888,8.027549
thigh.R YROT,0.470497,0.138344
thigh.R ZROT,0.003388,-0.431240
shin.R XPOS,0.000000,-0.022068
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.421084
shin.R XROT,1.817068,1.632998
shin.R YROT,0.273471,3.868395
shin.R ZROT,0.013861,-0.140921
foot.R XROT,2.991597,-8.702063
foot.R YROT,0.316380,4.414253
foot.R ZROT,1.151641,-6.839365
heel.02.R XROT,1.632235,-20.562340
heel.02.R YROT,0.590144,-50.067791
heel.02.R ZROT,2.566913,-38.106590
