pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
-0.091992,-0.160449,0.902292,-0.0,0.0,2.265042,-6.703408,2.627391,0.292518,9.998315,0.153622,1.251207,16.691603,-0.398154,-2.087018,2.186384,0.0,-1e-06,0.803638,0.000692,-0.098672,-16.067117,74.751551,20.845968,11.107082,28.084433,-41.285297,0.856882,0.000786,-0.105209,-9.095109,-73.107346,-12.169999,11.230983,-32.260459,36.167358,1.984786,0.0,-2.5e-05,1.984821,-0.0,0.0,5.202961,4.5761,0.06497,0.548054,-1.262979,0.034744,-8.424882,-3.279852,4.734623,-6.896717,44.066195,30.795615,3.079331,-4.657897,-0.036227,4.954506,4.971962,-0.473974,-10.225114,5.051004,-7.501032,-16.298136,-47.117674,-37.405907
-0.091973,-0.160538,0.902339,-0.0,0.0,2.294345,-6.699794,2.615947,0.29116,9.99831,0.157233,1.280879,16.720568,-0.415541,-2.03324,2.094127,0.0,-1e-06,0.797977,0.000683,-0.098018,-15.877277,74.758053,20.59886,11.113805,28.138648,-41.228552,0.851261,0.000777,-0.104522,-9.366841,-73.115911,-12.531873,11.227894,-32.182448,36.249825,1.99188,0.0,-2.5e-05,1.991849,-0.0,-0.0,5.186758,4.572804,0.064918,0.585743,-1.256486,0.037099,-8.413211,-3.270676,4.72035,-6.915267,44.079743,30.798474,3.076433,-4.654228,-0.036293,4.984758,4.973125,-0.476924,-10.287648,5.056092,-7.488221,-16.342568,-47.150695,-37.435557
-0.09195,-0.1606,0.902448,-0.0,0.0,2.307907,-6.701962,2.610004,0.290548,9.998141,0.160297,1.305579,16.800493,-0.419648,-1.894203,1.971548,0.0,1e-06,0.797344,0.000682,-0.097937,-15.670836,74.751045,20.335261,11.121688,28.174831,-41.202932,0.85059,0.000776,-0.104458,-9.70318,-73.134783,-12.977507,11.222706,-32.080753,36.354051,1.996534,-1e-06,3.1e-05,1.996567,-0.0,0.0,5.165849,4.569374,0.064811,0.631834,-1.249844,0.039982,-8.402087,-3.26319,4.709211,-6.937085,44.093256,30.797545,3.072659,-4.650377,-0.036353,5.005968,4.973157,-0.478957,-10.342558,5.058768,-7.473684,-16.374224,-47.174727,-37.459046
-0.091878,-0.160655,0.90265,-0.0,0.0,2.329807,-6.716438,2.602264,0.290018,9.998117,0.163087,1.328323,16.940821,-0.395538,-1.729422,1.820538,0.0,2e-06,0.802658,0.00069,-0.098551,-15.63549,74.731968,20.296488,11.15361,28.179062,-41.309896,0.855942,0.000785,-0.105068,-10.152974,-73.135637,-13.578696,11.24849,-31.985243,36.550487,1.979427,1e-06,-4.9e-05,1.979461,-0.0,0.0,5.142419,4.566618,0.064641,0.681893,-1.243334,0.043111,-8.391703,-3.249645,4.686054,-6.95143,44.089325,30.77407,3.06428,-4.643995,-0.036424,5.035778,4.971416,-0.481734,-10.386156,5.069243,-7.477611,-16.383945,-47.182732,-37.469096
-0.091738,-0.160759,0.902959,-0.0,0.0,2.378432,-6.747707,2.590738,0.289449,9.99808,0.167108,1.361428,17.140235,-0.356029,-1.640328,1.632926,0.0,2e-06,0.817921,0.000716,-0.100448,-15.844837,74.68775,20.582538,11.23513,28.183205,-41.592481,0.871165,0.000814,-0.107007,-10.966812,-73.065074,-14.684582,11.413102,-31.963332,37.102151,1.934206,-2e-06,0.00012,1.934207,-0.0,0.0,5.120834,4.567356,0.064336,0.732663,-1.241655,0.046311,-8.383921,-3.224466,4.639476,-6.957025,44.067008,30.727822,3.046764,-4.637428,-0.036391,5.096923,4.97373,-0.487694,-10.426977,5.095203,-7.51113,-16.385277,-47.184149,-37.471821
-0.091549,-0.160959,0.903342,-0.0,0.0,2.434837,-6.7864,2.582859,0.289452,9.997893,0.170829,1.391396,17.355087,-0.318864,-1.626977,1.414448,-0.0,-2e-06,0.84451,0.000764,-0.103755,-16.131512,74.625131,20.975549,11.341441,28.201621,-41.940623,0.897793,0.000863,-0.11027,-12.516713,-72.824495,-16.826775,11.883635,-32.160315,38.349743,1.875473,1e-06,-4.1e-05,1.875475,-0.0,0.0,5.112117,4.578514,0.063727,0.771232,-1.253511,0.04883,-8.383938,-3.197582,4.587198,-6.963748,44.045014,30.680916,3.025985,-4.631713,-0.036295,5.179385,4.980797,-0.495913,-10.46648,5.12755,-7.556849,-16.394804,-47.189982,-37.472836
-0.091316,-0.161233,0.903751,-0.0,0.0,2.463808,-6.79677,2.58631,0.290076,9.998109,0.164308,1.338315,17.477906,-0.268493,-1.554411,1.231619,0.0,-2e-06,0.885171,0.00084,-0.108617,-16.142828,74.580639,21.006599,11.380751,28.205095,-42.074054,0.938451,0.000943,-0.115173,-14.748021,-72.287963,-20.000694,12.757193,-32.751362,40.312514,1.833048,0.0,7e-06,1.833048,-0.0,-0.0,5.122719,4.607299,0.062567,0.785468,-1.283559,0.049935,-8.391386,-3.184666,4.559816,-6.980957,44.041299,30.65448,3.01251,-4.62319,-0.036358,5.249641,4.985743,-0.502874,-10.496497,5.149662,-7.586985,-16.411206,-47.200214,-37.475301
-0.091098,-0.161427,0.90422,-0.0,0.0,2.466782,-6.737304,2.607096,0.291038,9.998722,0.136481,1.111745,17.445077,-0.172363,-1.3192,1.160737,0.0,-3e-06,0.94285,0.000953,-0.11578,-15.610881,74.567887,20.323421,11.270979,28.167379,-41.742967,0.996096,0.001063,-0.122296,-16.964914,-71.385449,-23.351365,13.940503,-33.761437,42.547157,1.846109,1e-06,-3.3e-05,1.84611,-0.0,-0.0,5.136695,4.644769,0.061053,0.783637,-1.321707,0.050079,-8.392746,-3.183149,4.556457,-7.002256,44.050335,30.646092,2.997048,-4.617936,-0.03631,5.306217,4.991217,-0.508554,-10.512277,5.161531,-7.60327,-16.416988,-47.205077,-37.481752
-0.091102,-0.161337,0.904917,-0.0,0.0,2.491681,-6.608452,2.656431,0.293523,9.999535,0.089936,0.732696,17.364778,-0.033326,-0.993509,1.160658,-1e-06,2e-06,1.007525,0.001088,-0.123714,-14.859172,74.529542,19.363503,11.072617,28.090881,-41.152983,1.060811,0.001205,-0.130185,-18.573282,-70.097931,-26.127198,15.248268,-35.023243,44.631164,1.949002,-1e-06,8.8e-05,1.949003,-0.0,0.0,5.126292,4.659321,0.060275,0.781476,-1.346566,0.050109,-8.370639,-3.170021,4.537611,-7.002788,44.046449,30.638562,2.948192,-4.640644,-0.03513,5.397647,5.017972,-0.518585,-10.525358,5.184003,-7.640028,-16.404272,-47.199394,-37.489706
-0.091472,-0.160963,0.905993,-0.0,0.0,2.598465,-6.464653,2.738018,0.299063,10.000045,0.041046,0.334737,17.42976,0.110658,-0.740794,1.078785,-0.0,-1e-06,1.065428,0.001215,-0.130764,-15.176549,74.384926,19.825343,11.018522,27.948388,-41.17193,1.118673,0.00134,-0.137291,-19.660235,-68.332771,-28.513332,16.652594,-36.40344,46.630309,2.135419,-1e-06,3.9e-05,2.135419,-0.0,0.0,5.086488,4.628358,0.061185,0.774119,-1.351634,0.049672,-8.326151,-3.119891,4.453435,-6.954662,44.003624,30.617709,2.852546,-4.703635,-0.032417,5.565567,5.071716,-0.537339,-10.558689,5.245484,-7.741424,-16.400939,-47.199254,-37.497663
