Variable,variance,mean
pelvis XPOS,0.011233501,0.031204345
pelvis YPOS,0.0025817929,-0.12132021
pelvis ZPOS,5.0865e-05,0.90215236
pelvis XROT,0.0,0.0
pelvis YROT,0.0,0.0
pelvis ZROT,33.981155,2.6345356
spine XPOS,0.0,0.0
spine YPOS,0.0,0.0
spine ZPOS,0.0,0.0
spine XROT,4.461225,-5.542428
spine YROT,3.9911997,3.3945591
spine ZROT,0.039301462,0.34482464
spine.001 XROT,0.0008917488,9.982462
spine.001 YROT,0.24396396,-0.041761436
spine.001 ZROT,16.291115,-0.34045264
neck XPOS,0.0,0.0
neck YPOS,1.3877788e-17,0.034204997
neck ZPOS,3.404325e-15,0.278579
neck XROT,104.75219,18.311157
neck YROT,19.5506,1.3135505
neck ZROT,182.97289,-0.1847832
face XPOS,0.0,0.0
face YPOS,2.9555067e-15,0.0036269967
face ZPOS,2.6859559e-15,0.207774
face XROT,14.795847,-1.0187036
face YROT,1.4484003e-12,-1.05092965e-07
face ZROT,1.5515545e-11,2.2096478e-08
shoulder.L XPOS,0.0,0.0
shoulder.L YPOS,1.3877788e-17,0.034204997
shoulder.L ZPOS,6.2553036e-15,0.278579
shoulder.L XROT,1.5121574,0.719575
shoulder.L YROT,1.1848343e-05,0.0021747702
shoulder.L ZROT,0.022780964,-0.088334106
upper_arm.L XPOS,2.2240839e-14,0.18305898
upper_arm.L YPOS,0.0,0.0
upper_arm.L ZPOS,0.0,0.0
upper_arm.L XROT,419.69427,-4.6620235
upper_arm.L YROT,41.394592,72.82803
upper_arm.L ZROT,849.2056,6.827254
forearm.L XPOS,0.0,0.301174
forearm.L YPOS,8.4703295e-22,0.00013199997
forearm.L ZPOS,0.0,0.001093
forearm.L XROT,39.20297,16.752111
forearm.L YROT,28.67557,32.052513
forearm.L ZROT,358.58624,-52.567364
shoulder.R XPOS,0.0,0.0
shoulder.R YPOS,2.8447782e-16,0.034204997
shoulder.R ZPOS,5.782135e-15,0.278579
shoulder.R XROT,1.512155,0.77285475
shoulder.R YROT,1.26209825e-05,0.0022598668
shoulder.R ZROT,0.022779746,-0.09487227
upper_arm.R XPOS,2.3945096e-14,-0.18305804
upper_arm.R YPOS,0.0,0.0
upper_arm.R ZPOS,0.0,0.0
upper_arm.R XROT,304.4205,-5.8141737
upper_arm.R YROT,69.76636,-72.95747
upper_arm.R ZROT,582.2089,-9.777334
forearm.R XPOS,8.881784e-16,-0.30219597
forearm.R YPOS,8.4703295e-22,0.00013199997
forearm.R ZPOS,0.0,0.001093
forearm.R XROT,141.77603,16.418226
forearm.R YROT,80.931786,-31.916187
forearm.R ZROT,391.8507,46.809242
pelvis.L XPOS,0.0,0.0
pelvis.L YPOS,0.0,0.0
pelvis.L ZPOS,0.0,0.0
pelvis.L XROT,2.280557,2.2603176
pelvis.L YROT,3.1672048e-12,1.0185933e-07
pelvis.L ZROT,5.6470015e-09,-1.8302344e-06
pelvis.R XPOS,0.0,0.0
pelvis.R YPOS,0.0,0.0
pelvis.R ZPOS,0.0,0.0
pelvis.R XROT,2.2805564,2.260318
pelvis.R YROT,5.290803e-14,-5.6049583e-08
pelvis.R ZROT,3.745556e-13,-4.9312852e-08
thigh.L XPOS,1.0973026e-08,0.10634856
thigh.L YPOS,0.0,0.0
thigh.L ZPOS,7.860802e-06,-0.0041978084
thigh.L XROT,5.7009974,4.1144376
thigh.L YROT,7.036717,5.046702
thigh.L ZROT,0.006975821,0.015005398
shin.L XPOS,3.469447e-18,0.022177998
shin.L YPOS,0.0,0.0
shin.L ZPOS,8.881784e-16,-0.42317203
shin.L XROT,5.3932586,1.6101629
shin.L YROT,1.8209238,-1.0553341
shin.L ZROT,0.013145416,0.09025317
foot.L XROT,6.7021933,-6.8401513
foot.L YROT,7.201026,-4.5525804
foot.L ZROT,33.83966,7.8901334
heel.02.L XROT,12.7763,-9.2823515
heel.02.L YROT,10.480287,45.912304
heel.02.L ZROT,10.446087,32.05839
thigh.R XPOS,1.0974038e-08,-0.10634854
thigh.R YPOS,0.0,0.0
thigh.R ZPOS,7.860768e-06,0.0041978387
thigh.R XROT,7.305689,2.8177102
thigh.R YROT,9.910489,-2.512123
thigh.R ZROT,0.025323607,-0.08560476
shin.R XPOS,3.469447e-18,-0.022082001
shin.R YPOS,0.0,0.0
shin.R ZPOS,8.881784e-16,-0.42134902
shin.R XROT,13.085034,5.8518972
shin.R YROT,2.057224,3.7346537
shin.R ZROT,0.07536111,-0.48489952
foot.R XROT,3.469447e-18,-0.022030998
foot.R YROT,0.0,0.0
foot.R ZROT,8.881784e-16,-0.42038396
heel.02.R XROT,5.032006,-9.953332
heel.02.R YROT,6.782614,5.7239876
heel.02.R ZROT,23.138344,-8.8419075
,3.469447e-18,-0.022030998
,0.0,0.0
,8.881784e-16,-0.42038396
,18.061651,-19.311401
,6.76528,-49.18419
,10.81674,-40.20884
