Variable,variance,mean
pelvis XPOS,0.003744,0.001613
pelvis YPOS,0.003002,0.013384
pelvis ZPOS,0.000134,0.726166
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,94106.617188,-473.645966
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,3.909540,-3.570067
spine YROT,7.769322,2.585673
spine ZROT,0.039743,0.215121
spine.001 XROT,0.003817,9.970031
spine.001 YROT,0.405458,-0.105793
spine.001 ZROT,27.306288,-0.872333
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.032884
neck ZPOS,0.000000,0.267822
neck XROT,130.478134,22.365932
neck YROT,18.360001,-1.444688
neck ZROT,375.091248,-4.902012
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003432
face ZPOS,0.000000,0.196637
face XROT,45.015797,-3.166630
face YROT,0.000000,-0.000000
face ZROT,0.000000,0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.032884
shoulder.L ZPOS,0.000000,0.267822
shoulder.L XROT,5.605086,1.310884
shoulder.L YROT,0.000080,0.007844
shoulder.L ZROT,0.084334,-0.160913
upper_arm.L XPOS,0.000000,0.165374
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,318.366638,11.209929
upper_arm.L YROT,7.273209,76.134705
upper_arm.L ZROT,470.783905,-13.696404
forearm.L XPOS,0.000000,0.288452
forearm.L YPOS,0.000000,0.000115
forearm.L ZPOS,0.000000,0.000952
forearm.L XROT,33.278721,2.704674
forearm.L YROT,17.809807,8.264501
forearm.L ZROT,243.513458,-26.615395
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.032884
shoulder.R ZPOS,0.000000,0.267822
shoulder.R XROT,5.605085,1.362179
shoulder.R YROT,0.000079,0.007991
shoulder.R ZROT,0.084334,-0.167207
upper_arm.R XPOS,0.000000,-0.165374
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,508.876495,18.425472
upper_arm.R YROT,193.516235,-74.113579
upper_arm.R ZROT,869.793152,24.611990
forearm.R XPOS,0.000000,-0.290405
forearm.R YPOS,0.000000,0.000115
forearm.R ZPOS,0.000000,0.000952
forearm.R XROT,91.138382,5.884304
forearm.R YROT,92.924911,-12.925298
forearm.R ZROT,688.707520,33.283924
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,3.003709,1.531625
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,0.000000
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,3.003705,1.531624
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,-0.000000
thigh.L XPOS,0.000000,0.102092
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000010,-0.002730
thigh.L XROT,9.427492,5.831300
thigh.L YROT,7.743078,5.431878
thigh.L ZROT,0.019935,-0.004819
shin.L XPOS,0.000000,0.018502
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.353038
shin.L XROT,16.468540,1.257556
shin.L YROT,3.922559,-0.380536
shin.L ZROT,0.033023,0.065538
foot.L XROT,14.452861,-5.835061
foot.L YROT,16.673578,-4.299950
foot.L ZROT,82.096748,7.814182
heel.02.L XROT,63.105862,-13.967983
heel.02.L YROT,24.185324,48.103054
heel.02.L ZROT,43.191723,38.177250
thigh.R XPOS,0.000000,-0.102092
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000010,0.002730
thigh.R XROT,25.595869,5.358435
thigh.R YROT,11.432467,-1.437408
thigh.R ZROT,0.072198,-0.227998
shin.R XPOS,0.000000,-0.018712
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.357043
shin.R XROT,10.176529,3.263552
shin.R YROT,7.163772,0.487922
shin.R ZROT,0.088678,-0.168454
foot.R XROT,24.676085,-7.933104
foot.R YROT,29.978178,5.096279
foot.R ZROT,141.597733,-8.562815
heel.02.R XROT,88.499260,-24.263716
heel.02.R YROT,28.757051,-50.162830
heel.02.R ZROT,78.077423,-44.898331
