Variable,variance,mean
pelvis XPOS,0.000349,0.032152
pelvis YPOS,0.000450,-0.011004
pelvis ZPOS,0.000148,0.861847
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,560.332336,-0.441287
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,14.693100,-3.997379
spine YROT,2.298280,1.763180
spine ZROT,0.016643,0.137603
spine.001 XROT,0.014997,9.930174
spine.001 YROT,0.930952,-0.175479
spine.001 ZROT,63.581314,-1.424106
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.031518
neck ZPOS,0.000000,0.256691
neck XROT,88.946075,10.278992
neck YROT,15.338384,-1.245494
neck ZROT,232.590622,0.209445
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003648
face ZPOS,0.000000,0.209007
face XROT,31.570292,-0.185205
face YROT,0.000000,-0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.031518
shoulder.L ZPOS,0.000000,0.256691
shoulder.L XROT,4.832929,-1.126256
shoulder.L YROT,0.000056,0.006535
shoulder.L ZROT,0.072743,0.138226
upper_arm.L XPOS,0.000000,0.164994
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,338.423340,32.793858
upper_arm.L YROT,105.483765,74.911957
upper_arm.L ZROT,591.240173,-42.753410
forearm.L XPOS,0.000000,0.281769
forearm.L YPOS,0.000000,0.000124
forearm.L ZPOS,0.000000,0.001029
forearm.L XROT,77.904579,4.180967
forearm.L YROT,48.547707,7.742045
forearm.L ZROT,1028.473022,-28.126976
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.031518
shoulder.R ZPOS,0.000000,0.256691
shoulder.R XROT,4.832935,-1.070703
shoulder.R YROT,0.000056,0.006405
shoulder.R ZROT,0.072743,0.131411
upper_arm.R XPOS,0.000000,-0.164994
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,-0.000000
upper_arm.R XROT,509.199280,22.184614
upper_arm.R YROT,39.680008,-71.087799
upper_arm.R ZROT,1079.810547,29.138334
forearm.R XPOS,0.000000,-0.285892
forearm.R YPOS,0.000000,0.000124
forearm.R ZPOS,0.000000,0.001029
forearm.R XROT,95.448608,6.503398
forearm.R YROT,208.680542,-12.432839
forearm.R ZROT,991.378662,32.638287
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,1.850683,0.982766
pelvis.L YROT,0.000000,0.000000
pelvis.L ZROT,0.000000,-0.000001
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,1.850682,0.982766
pelvis.R YROT,0.000000,-0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.104902
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000006,-0.001800
thigh.L XROT,25.997824,4.989747
thigh.L YROT,3.093909,6.854251
thigh.L ZROT,0.011666,-0.015002
shin.L XPOS,0.000000,0.021034
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.401359
shin.L XROT,44.581078,-1.433216
shin.L YROT,7.836171,-7.792518
shin.L ZROT,0.586441,-0.202313
foot.L XROT,49.880592,-1.214683
foot.L YROT,51.763695,2.109843
foot.L ZROT,401.078583,-6.931731
heel.02.L XROT,89.144867,-14.456724
heel.02.L YROT,45.417580,46.483173
heel.02.L ZROT,34.662971,35.116531
thigh.R XPOS,0.000000,-0.104902
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000006,0.001800
thigh.R XROT,34.925129,0.424640
thigh.R YROT,6.090347,-3.401102
thigh.R ZROT,0.042350,-0.031533
shin.R XPOS,0.000000,-0.020805
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.396990
shin.R XROT,54.097893,5.756737
shin.R YROT,5.869510,7.223665
shin.R ZROT,0.653897,-0.659705
foot.R XROT,80.723099,-0.971886
foot.R YROT,38.069969,-0.620962
foot.R ZROT,398.402863,3.899054
heel.02.R XROT,100.222969,-20.305317
heel.02.R YROT,45.238373,-47.166584
heel.02.R ZROT,67.083733,-37.573463
