Variable,variance,mean
pelvis XPOS,0.000605,-0.013406
pelvis YPOS,0.000356,0.135702
pelvis ZPOS,0.000058,0.657937
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,29.086592,5.933465
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,6.836338,-17.828465
spine YROT,9.589496,4.965998
spine ZROT,0.254537,1.045794
spine.001 XROT,0.001790,9.975283
spine.001 YROT,0.329181,0.125874
spine.001 ZROT,22.041451,1.030992
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.027747
neck ZPOS,0.000000,0.225981
neck XROT,62.341698,18.915966
neck YROT,25.712318,-3.226666
neck ZROT,487.956970,2.631122
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003222
face ZPOS,0.000000,0.184564
face XROT,15.713968,-2.536443
face YROT,0.000000,-0.000000
face ZROT,0.000000,0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.027747
shoulder.L ZPOS,0.000000,0.225981
shoulder.L XROT,3.627607,-5.089699
shoulder.L YROT,0.000536,0.031608
shoulder.L ZROT,0.054129,0.623743
upper_arm.L XPOS,0.000000,0.129909
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,37841.214844,-212.116348
upper_arm.L YROT,24.613466,82.741653
upper_arm.L ZROT,38807.851562,210.739532
forearm.L XPOS,0.000000,0.243809
forearm.L YPOS,0.000000,0.000103
forearm.L ZPOS,0.000000,0.000856
forearm.L XROT,203.782944,6.928339
forearm.L YROT,100.344597,9.218898
forearm.L ZROT,991.036682,-32.035858
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.027747
shoulder.R ZPOS,0.000000,0.225981
shoulder.R XROT,3.627613,-5.031025
shoulder.R YROT,0.000525,0.030974
shoulder.R ZROT,0.054140,0.616573
upper_arm.R XPOS,0.000000,-0.129909
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,146.426895,-8.640251
upper_arm.R YROT,61.346207,-74.592636
upper_arm.R ZROT,315.684082,-11.656113
forearm.R XPOS,0.000000,-0.238087
forearm.R YPOS,0.000000,0.000103
forearm.R ZPOS,0.000000,0.000856
forearm.R XROT,350.258057,3.368740
forearm.R YROT,79.338585,-7.813414
forearm.R ZROT,872.586060,37.496166
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,5.556727,1.743552
pelvis.L YROT,0.000000,0.000000
pelvis.L ZROT,0.000000,-0.000001
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,5.556724,1.743553
pelvis.R YROT,0.000000,-0.000000
pelvis.R ZROT,0.000000,-0.000000
thigh.L XPOS,0.000000,0.084880
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000012,-0.002585
thigh.L XROT,13.640124,-7.748309
thigh.L YROT,8.664858,3.393503
thigh.L ZROT,0.465534,-0.247199
shin.L XPOS,0.000000,0.016696
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.318574
shin.L XROT,14.411745,2.803851
shin.L YROT,8.250346,-2.418666
shin.L ZROT,0.250230,0.147968
foot.L XROT,13.000602,-1.552280
foot.L YROT,3.161715,1.753623
foot.L ZROT,17.490788,-4.535356
heel.02.L XROT,4.481294,4.577083
heel.02.L YROT,10.019884,36.088806
heel.02.L ZROT,4.676446,26.505701
thigh.R XPOS,0.000000,-0.084880
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000012,0.002585
thigh.R XROT,12.135282,-10.119266
thigh.R YROT,9.579913,-1.429783
thigh.R ZROT,0.565329,0.482135
shin.R XPOS,0.000000,-0.016642
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.317550
shin.R XROT,16.041798,10.389613
shin.R YROT,9.709624,-3.137360
shin.R ZROT,0.387576,-0.190483
foot.R XROT,14.137996,-6.090257
foot.R YROT,4.888320,4.259131
foot.R ZROT,17.646904,-7.324941
heel.02.R XROT,10.570067,-6.981330
heel.02.R YROT,6.985507,-44.438171
heel.02.R ZROT,4.305895,-31.427242
