Variable,variance,mean
pelvis XPOS,0.000255,0.004053
pelvis YPOS,0.000211,0.028339
pelvis ZPOS,0.000046,0.709388
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,262.665100,1.675966
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,3.374884,-8.128013
spine YROT,2.340779,1.050520
spine ZROT,0.029111,0.125690
spine.001 XROT,0.009713,9.938321
spine.001 YROT,0.853196,-0.027703
spine.001 ZROT,57.829182,-0.219613
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.032925
neck ZPOS,0.000000,0.268155
neck XROT,106.422928,16.990271
neck YROT,49.636669,-0.362278
neck ZROT,723.604187,2.721573
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003567
face ZPOS,0.000000,0.204331
face XROT,21.173161,2.008943
face YROT,0.000000,-0.000000
face ZROT,0.000000,0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.032925
shoulder.L ZPOS,0.000000,0.268155
shoulder.L XROT,2.002073,1.089728
shoulder.L YROT,0.000034,0.003417
shoulder.L ZROT,0.030139,-0.133769
upper_arm.L XPOS,0.000000,0.166001
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,156.168518,26.417677
upper_arm.L YROT,43.650932,75.398003
upper_arm.L ZROT,226.616562,-33.745663
forearm.L XPOS,0.000000,0.276826
forearm.L YPOS,0.000000,0.000115
forearm.L ZPOS,0.000000,0.000950
forearm.L XROT,39.029896,2.711926
forearm.L YROT,19.145491,7.392423
forearm.L ZROT,521.912109,-23.286963
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.032925
shoulder.R ZPOS,0.000000,0.268155
shoulder.R XROT,2.002074,1.140666
shoulder.R YROT,0.000035,0.003539
shoulder.R ZROT,0.030137,-0.140022
upper_arm.R XPOS,0.000000,-0.166001
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,275.241028,18.395741
upper_arm.R YROT,8.344449,-76.111534
upper_arm.R ZROT,439.578308,22.703480
forearm.R XPOS,0.000000,-0.273042
forearm.R YPOS,0.000000,0.000115
forearm.R ZPOS,0.000000,0.000950
forearm.R XROT,111.167671,6.480391
forearm.R YROT,81.377686,-15.752804
forearm.R ZROT,535.618530,29.478657
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,1.966983,0.818520
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,-0.000000
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,1.966983,0.818520
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,-0.000000
thigh.L XPOS,0.000000,0.107787
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000007,-0.001540
thigh.L XROT,8.258821,1.699608
thigh.L YROT,2.287361,2.202171
thigh.L ZROT,0.005249,0.062312
shin.L XPOS,0.000000,0.017911
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.341766
shin.L XROT,5.012527,1.090000
shin.L YROT,1.511339,1.161469
shin.L ZROT,0.010254,0.047413
foot.L XROT,19.868353,-1.281782
foot.L YROT,20.410166,-6.104826
foot.L ZROT,147.798080,13.422192
heel.02.L XROT,10.800506,1.612205
heel.02.L YROT,16.356495,-22.072613
heel.02.L ZROT,26.948183,-13.170615
thigh.R XPOS,0.000000,-0.107787
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000007,0.001540
thigh.R XROT,9.396419,0.217756
thigh.R YROT,2.231186,0.448551
thigh.R ZROT,0.027957,0.003178
shin.R XPOS,0.000000,-0.017874
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.341064
shin.R XROT,3.570763,6.073654
shin.R YROT,2.140707,-3.385292
shin.R ZROT,0.007949,-0.141188
foot.R XROT,23.904953,-7.361800
foot.R YROT,23.181658,7.973290
foot.R ZROT,134.703995,-14.176768
heel.02.R XROT,7.357708,-1.650101
heel.02.R YROT,21.646116,24.726553
heel.02.R ZROT,33.129040,13.603896
