pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
-0.032596,0.14149,0.665658,-0.0,0.0,4.510068,-20.10265,2.118468,0.491141,9.993347,0.30708,2.501956,11.41263,-1.413403,-1.079184,7.378419,-0.0,0.0,-3.388919,0.012299,0.415836,51.145908,78.36623,-60.806831,0.545155,7.996444,-6.448797,-3.334935,0.011914,0.409249,32.060105,-72.325952,42.875157,0.616607,-8.905179,6.475193,-1.055911,-0.0,5.2e-05,-1.055911,-0.0,0.0,-6.621486,3.998568,-0.116215,-3.032009,-7.041412,-0.344415,8.056913,-0.20887,2.877961,-4.162234,45.118666,26.862062,-6.401576,-4.185417,0.101872,-3.915062,1.887034,0.269527,7.031318,1.027947,-4.852867,-23.02154,-50.627339,-47.232056
-0.032596,0.14149,0.665658,-0.0,0.0,4.510068,-20.10265,2.118468,0.491141,9.993347,0.30708,2.501956,11.41263,-1.413403,-1.079184,7.378419,-0.0,0.0,-3.388919,0.012299,0.415836,51.145908,78.36623,-60.806831,0.545155,7.996444,-6.448797,-3.334935,0.011914,0.409249,32.060105,-72.325952,42.875157,0.616607,-8.905179,6.475193,-1.055911,-0.0,5.2e-05,-1.055911,-0.0,0.0,-6.621486,3.998568,-0.116215,-3.032009,-7.041412,-0.344415,8.056913,-0.20887,2.877961,-4.162234,45.118666,26.862062,-6.401576,-4.185417,0.101872,-3.915062,1.887034,0.269527,7.031318,1.027947,-4.852867,-23.02154,-50.627339,-47.232056
-0.032944,0.140804,0.664367,-0.0,0.0,4.380971,-20.107824,2.124001,0.492524,9.992473,0.325398,2.651143,10.846771,-1.491799,-1.687739,7.209087,-0.0,1e-06,-3.592624,0.01383,0.440844,51.280668,79.054775,-60.351271,0.54925,7.38126,-7.296913,-3.538629,0.013415,0.434193,30.245512,-72.661922,40.317449,0.774037,-9.267408,8.207938,-0.735533,-0.0,-3.2e-05,-0.735492,-0.0,-0.0,-6.210409,3.78175,-0.120771,-3.747641,-6.605508,-0.411575,8.313225,-0.394455,3.518243,-4.219825,45.569752,27.36907,-6.373621,-4.423523,0.088136,-3.877428,2.115454,0.274633,6.505152,1.052108,-4.711608,-23.477566,-50.895452,-47.833065
-0.033576,0.140258,0.663569,-0.0,0.0,4.352042,-20.1582,2.160992,0.502105,9.991847,0.338857,2.7609,10.555814,-1.584712,-2.186687,7.023001,0.0,-0.0,-3.794803,0.015427,0.465642,49.838296,79.690699,-58.195404,0.542812,6.87524,-7.939332,-3.740808,0.014989,0.458998,29.061857,-72.87665,38.656361,0.863092,-9.432717,9.17263,-0.529125,-0.0,4.1e-05,-0.529084,-0.0,0.0,-5.90117,3.574428,-0.125449,-4.300436,-6.234682,-0.45849,8.509658,-0.513726,3.946635,-4.276662,45.946976,27.794521,-6.32269,-4.668826,0.073839,-3.893837,2.3704,0.284425,6.155895,1.079363,-4.6508,-23.924916,-51.14182,-48.328988
-0.034453,0.139914,0.663226,-0.0,0.0,4.418311,-20.246433,2.215853,0.516652,9.991458,0.346841,2.825889,10.539939,-1.669708,-2.560675,6.806769,-0.0,-1e-06,-3.989536,0.017045,0.489502,46.813673,80.181189,-54.418098,0.520763,6.457832,-8.221395,-3.935596,0.016588,0.482859,28.617306,-72.939146,38.045021,0.867251,-9.397249,9.272189,-0.433012,-0.0,6e-05,-0.433053,-0.0,0.0,-5.72412,3.377699,-0.131528,-4.644897,-5.941013,-0.483409,8.642427,-0.568441,4.161591,-4.312731,46.220464,28.110494,-6.261744,-4.889518,0.061014,-3.951301,2.613941,0.29699,6.000562,1.110093,-4.675382,-24.316968,-51.343577,-48.670555
-0.035322,0.139761,0.663011,-0.0,0.0,4.495385,-20.333255,2.248912,0.526159,9.991148,0.352267,2.870218,10.627499,-1.70822,-2.80943,6.575187,-0.0,-1e-06,-4.156531,0.018504,0.509917,43.666543,80.436836,-50.697649,0.472904,6.009228,-8.052201,-4.102533,0.018022,0.50325,28.52302,-72.883275,37.959473,0.834842,-9.327842,8.936496,-0.377374,-0.0,-1.1e-05,-0.377333,-0.0,0.0,-5.626849,3.197927,-0.138134,-4.869714,-5.713542,-0.497214,8.754518,-0.600429,4.301817,-4.318197,46.420394,28.357224,-6.226361,-5.043708,0.052253,-3.991633,2.779819,0.305778,5.936829,1.137155,-4.725165,-24.615445,-51.491065,-48.892079
-0.036019,0.139762,0.662795,-0.0,0.0,4.520339,-20.398884,2.241592,0.5258,9.990854,0.357567,2.913306,10.709072,-1.690345,-2.913134,6.35024,-0.0,2e-06,-4.27551,0.019575,0.524431,41.28529,80.479511,-47.992297,0.405137,5.479671,-7.539481,-4.221476,0.019087,0.517865,28.570546,-72.779893,38.0866,0.802366,-9.315396,8.524605,-0.328353,-0.0,-9.3e-05,-0.328271,-0.0,0.0,-5.540084,3.055247,-0.142909,-5.087063,-5.564705,-0.512858,8.879021,-0.631156,4.44419,-4.302842,46.591726,28.582938,-6.23687,-5.126442,0.047816,-3.978418,2.84597,0.30705,5.882532,1.152274,-4.745613,-24.815483,-51.587121,-49.021678
-0.036598,0.139879,0.662638,-0.0,0.0,4.506362,-20.449889,2.21197,0.519892,9.990621,0.362629,2.954716,10.779754,-1.638812,-2.892148,6.15565,0.0,2e-06,-4.353687,0.020302,0.53401,39.059198,80.4409,-45.509134,0.348937,4.991013,-7.121445,-4.299701,0.019798,0.527409,28.79758,-72.677605,38.444918,0.771338,-9.329368,8.099486,-0.294823,-0.0,6e-05,-0.294864,-0.0,-0.0,-5.440354,2.962087,-0.144764,-5.333029,-5.506636,-0.535,9.015833,-0.648513,4.552429,-4.28504,46.755182,28.801412,-6.281935,-5.169975,0.045763,-3.926023,2.849363,0.303118,5.830775,1.155061,-4.733156,-24.954286,-51.6496,-49.072805
-0.037213,0.140089,0.662527,-0.0,0.0,4.510713,-20.492685,2.189078,0.515373,9.990327,0.369332,3.009433,10.845148,-1.573084,-2.855005,6.007759,-0.0,-1e-06,-4.428032,0.020999,0.543098,36.439271,80.454315,-42.528992,0.326976,4.667547,-7.229804,-4.373994,0.020493,0.536506,29.112534,-72.589987,38.907794,0.73608,-9.314027,7.652411,-0.274894,0.0,-5.2e-05,-0.274894,0.0,0.0,-5.353183,2.898414,-0.145418,-5.568309,-5.502957,-0.558462,9.150622,-0.637896,4.576111,-4.2674,46.900751,28.998029,-6.336268,-5.212055,0.043821,-3.871708,2.846797,0.298839,5.802629,1.155263,-4.72277,-25.083948,-51.705007,-49.091875
-0.037935,0.140391,0.66238,-0.0,0.0,4.570308,-20.527302,2.177984,0.513454,9.989455,0.385889,3.14456,10.903758,-1.486787,-2.925912,5.886333,0.0,1e-06,-4.530892,0.021988,0.555719,34.213114,80.542977,-39.935635,0.327182,4.440254,-7.799289,-4.47691,0.021468,0.549141,29.243858,-72.529519,39.116688,0.699817,-9.231393,7.262364,-0.248925,-0.0,5e-05,-0.249007,0.0,-0.0,-5.311801,2.832882,-0.147334,-5.742368,-5.495045,-0.575552,9.271686,-0.602812,4.520103,-4.236228,47.009866,29.157364,-6.38625,-5.270577,0.04089,-3.835562,2.872586,0.296905,5.80246,1.164212,-4.747259,-25.224765,-51.76794,-49.143324
